,date,hr,tickets
418,2022-07-18,10,107.5045872
419,2022-07-18,11,133.7834862
420,2022-07-18,12,145.7284404
421,2022-07-18,13,145.7284404
422,2022-07-18,14,136.1724771
423,2022-07-18,15,124.2275229
424,2022-07-18,16,109.893578
425,2022-07-18,17,93.1706422
426,2022-07-18,18,74.0587156
427,2022-07-18,19,54.94678899
428,2022-07-18,20,38.22385321
429,2022-07-18,21,23.88990826
430,2022-07-18,22,0
431,2022-07-18,23,0
432,2022-07-19,0,0
433,2022-07-19,1,0
434,2022-07-19,2,0
435,2022-07-19,3,0
436,2022-07-19,4,0
437,2022-07-19,5,0
438,2022-07-19,6,0
439,2022-07-19,7,0
440,2022-07-19,8,31.4733945
441,2022-07-19,9,57.39266055
442,2022-07-19,10,83.31192661
443,2022-07-19,11,103.6770642
444,2022-07-19,12,112.933945
445,2022-07-19,13,112.933945
446,2022-07-19,14,105.5284404
447,2022-07-19,15,96.27155963
448,2022-07-19,16,85.16330275
449,2022-07-19,17,72.20366972
450,2022-07-19,18,57.39266055
451,2022-07-19,19,42.58165138
452,2022-07-19,20,29.62201835
453,2022-07-19,21,18.51376147
454,2022-07-19,22,0
455,2022-07-19,23,0
456,2022-07-20,0,0
457,2022-07-20,1,0
458,2022-07-20,2,0
459,2022-07-20,3,0
460,2022-07-20,4,0
461,2022-07-20,5,0
462,2022-07-20,6,0
463,2022-07-20,7,0
464,2022-07-20,8,27.66788991
465,2022-07-20,9,50.45321101
466,2022-07-20,10,73.23853211
467,2022-07-20,11,91.1412844
468,2022-07-20,12,99.27889908
469,2022-07-20,13,99.27889908
470,2022-07-20,14,92.76880734
471,2022-07-20,15,84.63119266
472,2022-07-20,16,74.86605505
473,2022-07-20,17,63.4733945
474,2022-07-20,18,50.45321101
475,2022-07-20,19,37.43302752
476,2022-07-20,20,26.04036697
477,2022-07-20,21,16.27522936
478,2022-07-20,22,0
479,2022-07-20,23,0
480,2022-07-21,0,0
481,2022-07-21,1,0
482,2022-07-21,2,0
483,2022-07-21,3,0
484,2022-07-21,4,0
485,2022-07-21,5,0
486,2022-07-21,6,0
487,2022-07-21,7,0
488,2022-07-21,8,29.10275229
489,2022-07-21,9,53.06972477
490,2022-07-21,10,77.03669725
491,2022-07-21,11,95.86788991
492,2022-07-21,12,104.4275229
493,2022-07-21,13,104.4275229
494,2022-07-21,14,97.57981651
495,2022-07-21,15,89.02018349
496,2022-07-21,16,78.74862385
497,2022-07-21,17,66.76513761
498,2022-07-21,18,53.06972477
499,2022-07-21,19,39.37431193
500,2022-07-21,20,27.39082569
501,2022-07-21,21,17.11926606
502,2022-07-21,22,0
503,2022-07-21,23,0
504,2022-07-22,0,0
505,2022-07-22,1,0
506,2022-07-22,2,0
507,2022-07-22,3,0
508,2022-07-22,4,0
509,2022-07-22,5,0
510,2022-07-22,6,0
511,2022-07-22,7,0
512,2022-07-22,8,38.95963303
513,2022-07-22,9,71.0440367
514,2022-07-22,10,103.1284404
515,2022-07-22,11,128.3376147
516,2022-07-22,12,139.7963303
517,2022-07-22,13,139.7963303
518,2022-07-22,14,130.6293578
519,2022-07-22,15,119.1706422
520,2022-07-22,16,105.4201835
521,2022-07-22,17,89.37798165
522,2022-07-22,18,71.0440367
523,2022-07-22,19,52.71009174
524,2022-07-22,20,36.66788991
525,2022-07-22,21,22.91743119
526,2022-07-22,22,0
527,2022-07-22,23,0
528,2022-07-23,0,0
529,2022-07-23,1,0
530,2022-07-23,2,0
531,2022-07-23,3,0
532,2022-07-23,4,0
533,2022-07-23,5,0
534,2022-07-23,6,0
535,2022-07-23,7,0
536,2022-07-23,8,56.70825688
537,2022-07-23,9,103.4091743
538,2022-07-23,10,150.1100917
539,2022-07-23,11,186.8036697
540,2022-07-23,12,203.4825688
541,2022-07-23,13,203.4825688
542,2022-07-23,14,190.1394495
543,2022-07-23,15,173.4605505
544,2022-07-23,16,153.4458716
545,2022-07-23,17,130.0954128
546,2022-07-23,18,103.4091743
547,2022-07-23,19,76.72293578
548,2022-07-23,20,53.37247706
549,2022-07-23,21,33.35779817
550,2022-07-23,22,0
551,2022-07-23,23,0
552,2022-07-24,0,0
553,2022-07-24,1,0
554,2022-07-24,2,0
555,2022-07-24,3,0
556,2022-07-24,4,0
557,2022-07-24,5,0
558,2022-07-24,6,0
559,2022-07-24,7,0
560,2022-07-24,8,47.31926606
561,2022-07-24,9,86.28807339
562,2022-07-24,10,125.2568807
563,2022-07-24,11,155.8752294
564,2022-07-24,12,169.7926606
565,2022-07-24,13,169.7926606
566,2022-07-24,14,158.6587156
567,2022-07-24,15,144.7412844
568,2022-07-24,16,128.040367
569,2022-07-24,17,108.5559633
570,2022-07-24,18,86.28807339
571,2022-07-24,19,64.02018349
572,2022-07-24,20,44.53577982
573,2022-07-24,21,27.83486239
574,2022-07-24,22,0
575,2022-07-24,23,0
576,2022-07-25,0,0
577,2022-07-25,1,0
578,2022-07-25,2,0
579,2022-07-25,3,0
580,2022-07-25,4,0
581,2022-07-25,5,0
582,2022-07-25,6,0
583,2022-07-25,7,0
584,2022-07-25,8,34.8733945
585,2022-07-25,9,63.59266055
586,2022-07-25,10,92.31192661
587,2022-07-25,11,114.8770642
588,2022-07-25,12,125.133945
589,2022-07-25,13,125.133945
590,2022-07-25,14,116.9284404
591,2022-07-25,15,106.6715596
592,2022-07-25,16,94.36330275
593,2022-07-25,17,80.00366972
594,2022-07-25,18,63.59266055
595,2022-07-25,19,47.18165138
596,2022-07-25,20,32.82201835
597,2022-07-25,21,20.51376147
598,2022-07-25,22,0
599,2022-07-25,23,0
600,2022-07-26,0,0
601,2022-07-26,1,0
602,2022-07-26,2,0
603,2022-07-26,3,0
604,2022-07-26,4,0
605,2022-07-26,5,0
606,2022-07-26,6,0
607,2022-07-26,7,0
608,2022-07-26,8,30.38165138
609,2022-07-26,9,55.40183486
610,2022-07-26,10,80.42201835
611,2022-07-26,11,100.0807339
612,2022-07-26,12,109.0165138
613,2022-07-26,13,109.0165138
614,2022-07-26,14,101.8678899
615,2022-07-26,15,92.93211009
616,2022-07-26,16,82.20917431
617,2022-07-26,17,69.69908257
618,2022-07-26,18,55.40183486
619,2022-07-26,19,41.10458716
620,2022-07-26,20,28.59449541
621,2022-07-26,21,17.87155963
622,2022-07-26,22,0
623,2022-07-26,23,0
624,2022-07-27,0,0
625,2022-07-27,1,0
626,2022-07-27,2,0
627,2022-07-27,3,0
628,2022-07-27,4,0
629,2022-07-27,5,0
630,2022-07-27,6,0
631,2022-07-27,7,0
632,2022-07-27,8,29.28990826
633,2022-07-27,9,53.41100917
634,2022-07-27,10,77.53211009
635,2022-07-27,11,96.48440367
636,2022-07-27,12,105.0990826
637,2022-07-27,13,105.0990826
638,2022-07-27,14,98.20733945
639,2022-07-27,15,89.59266055
640,2022-07-27,16,79.25504587
641,2022-07-27,17,67.19449541
642,2022-07-27,18,53.41100917
643,2022-07-27,19,39.62752294
644,2022-07-27,20,27.56697248
645,2022-07-27,21,17.2293578
646,2022-07-27,22,0
647,2022-07-27,23,0
648,2022-07-28,0,0
649,2022-07-28,1,0
650,2022-07-28,2,0
651,2022-07-28,3,0
652,2022-07-28,4,0
653,2022-07-28,5,0
654,2022-07-28,6,0
655,2022-07-28,7,0
656,2022-07-28,8,28.16697248
657,2022-07-28,9,51.36330275
658,2022-07-28,10,74.55963303
659,2022-07-28,11,92.7853211
660,2022-07-28,12,101.0697248
661,2022-07-28,13,101.0697248
662,2022-07-28,14,94.44220183
663,2022-07-28,15,86.15779817
664,2022-07-28,16,76.21651376
665,2022-07-28,17,64.61834862
666,2022-07-28,18,51.36330275
667,2022-07-28,19,38.10825688
668,2022-07-28,20,26.51009174
669,2022-07-28,21,16.56880734
670,2022-07-28,22,0
671,2022-07-28,23,0
672,2022-07-29,0,0
673,2022-07-29,1,0
674,2022-07-29,2,0
675,2022-07-29,3,0
676,2022-07-29,4,0
677,2022-07-29,5,0
678,2022-07-29,6,0
679,2022-07-29,7,0
680,2022-07-29,8,35.06055046
681,2022-07-29,9,63.93394495
682,2022-07-29,10,92.80733945
683,2022-07-29,11,115.493578
684,2022-07-29,12,125.8055046
685,2022-07-29,13,125.8055046
686,2022-07-29,14,117.5559633
687,2022-07-29,15,107.2440367
688,2022-07-29,16,94.86972477
689,2022-07-29,17,80.43302752
690,2022-07-29,18,63.93394495
691,2022-07-29,19,47.43486239
692,2022-07-29,20,32.99816514
693,2022-07-29,21,20.62385321
694,2022-07-29,22,0
695,2022-07-29,23,0
696,2022-07-30,0,0
697,2022-07-30,1,0
698,2022-07-30,2,0
699,2022-07-30,3,0
700,2022-07-30,4,0
701,2022-07-30,5,0
702,2022-07-30,6,0
703,2022-07-30,7,0
704,2022-07-30,8,46.35229358
705,2022-07-30,9,84.52477064
706,2022-07-30,10,122.6972477
707,2022-07-30,11,152.6899083
708,2022-07-30,12,166.3229358
709,2022-07-30,13,166.3229358
710,2022-07-30,14,155.4165138
711,2022-07-30,15,141.7834862
712,2022-07-30,16,125.4238532
713,2022-07-30,17,106.3376147
714,2022-07-30,18,84.52477064
715,2022-07-30,19,62.71192661
716,2022-07-30,20,43.62568807
717,2022-07-30,21,27.26605505
718,2022-07-30,22,0
719,2022-07-30,23,0
720,2022-07-31,0,0
721,2022-07-31,1,0
722,2022-07-31,2,0
723,2022-07-31,3,0
724,2022-07-31,4,0
725,2022-07-31,5,0
726,2022-07-31,6,0
727,2022-07-31,7,0
728,2022-07-31,8,46.5706422
729,2022-07-31,9,84.92293578
730,2022-07-31,10,123.2752294
731,2022-07-31,11,153.4091743
732,2022-07-31,12,167.106422
733,2022-07-31,13,167.106422
734,2022-07-31,14,156.1486239
735,2022-07-31,15,142.4513761
736,2022-07-31,16,126.0146789
737,2022-07-31,17,106.8385321
738,2022-07-31,18,84.92293578
739,2022-07-31,19,63.00733945
740,2022-07-31,20,43.83119266
741,2022-07-31,21,27.39449541
742,2022-07-31,22,0
743,2022-07-31,23,0
744,2022-08-01,0,0
745,2022-08-01,1,0
746,2022-08-01,2,0
747,2022-08-01,3,0
748,2022-08-01,4,0
749,2022-08-01,5,0
750,2022-08-01,6,0
751,2022-08-01,7,0
752,2022-08-01,8,28.35928144
753,2022-08-01,9,60.26347305
754,2022-08-01,10,92.16766467
755,2022-08-01,11,109.8922156
756,2022-08-01,12,106.3473054
757,2022-08-01,13,90.39520958
