dt_date,Parking
2022/8/1,12
2022/8/1,31
2022/8/1,17
2022/8/1,34
2022/8/1,1
2022/8/1,0
2022/8/1,0
2022/8/1,0
2022/8/2,0
2022/8/2,0
2022/8/2,0
2022/8/2,0
2022/8/2,0
2022/8/2,0
2022/8/2,0
2022/8/2,43
2022/8/2,26
2022/8/2,22
2022/8/2,2
2022/8/2,42
2022/8/2,46
2022/8/2,41
2022/8/2,0
2022/8/2,12
2022/8/2,10
2022/8/2,0
2022/8/2,15
2022/8/2,8
2022/8/2,0
2022/8/2,0
2022/8/2,0
2022/8/2,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,37
2022/8/3,30
2022/8/3,20
2022/8/3,15
2022/8/3,26
2022/8/3,37
2022/8/3,21
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/3,0
2022/8/4,0
2022/8/4,0
2022/8/4,0
2022/8/4,0
2022/8/4,0
2022/8/4,0
2022/8/4,0
2022/8/4,41
2022/8/4,22
2022/8/4,34
2022/8/4,24
2022/8/4,22
2022/8/4,34
2022/8/4,33
2022/8/4,44
2022/8/4,37
2022/8/4,33
2022/8/4,19
2022/8/4,30
2022/8/4,6
2022/8/4,12
2022/8/4,0
2022/8/4,0
2022/8/4,0
2022/8/5,0
2022/8/5,0
2022/8/5,0
2022/8/5,0
2022/8/5,0
2022/8/5,0
2022/8/5,0
2022/8/5,37
2022/8/5,34
2022/8/5,29
2022/8/5,25
2022/8/5,9
2022/8/5,37
2022/8/5,24
2022/8/5,12
2022/8/5,32
2022/8/5,24
2022/8/5,23
2022/8/5,4
2022/8/5,21
2022/8/5,6
2022/8/5,0
2022/8/5,0
2022/8/5,0
2022/8/6,0
2022/8/6,0
2022/8/6,0
2022/8/6,0
2022/8/6,0
2022/8/6,0
2022/8/6,0
2022/8/6,38
2022/8/6,19
2022/8/6,21
2022/8/6,14
2022/8/6,0
2022/8/6,0
2022/8/6,0
2022/8/6,48
2022/8/6,22
2022/8/6,22
2022/8/6,12
2022/8/6,15
2022/8/6,20
2022/8/6,0
2022/8/6,0
2022/8/6,0
2022/8/6,0
2022/8/7,0
2022/8/7,0
2022/8/7,0
2022/8/7,0
2022/8/7,0
2022/8/7,0
2022/8/7,0
2022/8/7,34
2022/8/7,20
2022/8/7,11
2022/8/7,19
2022/8/7,26
2022/8/7,16
2022/8/7,22
2022/8/7,20
2022/8/7,24
2022/8/7,6
2022/8/7,23
2022/8/7,21
2022/8/7,14
2022/8/7,0
2022/8/7,0
2022/8/7,0
2022/8/7,0
2022/8/8,0
2022/8/8,0
2022/8/8,0
2022/8/8,0
2022/8/8,0
2022/8/8,0
2022/8/8,0
2022/8/8,51
2022/8/8,30
2022/8/8,26
2022/8/8,16
2022/8/8,29
2022/8/8,32
2022/8/8,31
2022/8/8,53
2022/8/8,39
2022/8/8,26
2022/8/8,42
2022/8/8,36
2022/8/8,38
2022/8/8,5
2022/8/8,0
2022/8/8,0
2022/8/8,0
2022/8/9,0
2022/8/9,0
2022/8/9,0
2022/8/9,0
2022/8/9,0
2022/8/9,0
2022/8/9,0
2022/8/9,42
2022/8/9,33
2022/8/9,13
2022/8/9,25
2022/8/9,36
2022/8/9,16
2022/8/9,31
2022/8/9,40
2022/8/9,34
2022/8/9,16
2022/8/9,35
2022/8/9,36
2022/8/9,32
2022/8/9,0
2022/8/9,0
2022/8/9,0
2022/8/9,0
2022/8/10,0
2022/8/10,0
2022/8/10,0
2022/8/10,0
2022/8/10,0
2022/8/10,0
2022/8/10,0
2022/8/10,58
2022/8/10,39
2022/8/10,13
2022/8/10,19
2022/8/10,13
2022/8/10,29
2022/8/10,7
2022/8/10,23
2022/8/10,32
2022/8/10,5
2022/8/10,13
2022/8/10,51
2022/8/10,28
2022/8/10,7
2022/8/10,0
2022/8/10,0
2022/8/10,0
2022/8/11,0
2022/8/11,0
2022/8/11,0
2022/8/11,0
2022/8/11,0
2022/8/11,0
2022/8/11,0
2022/8/11,55
2022/8/11,30
2022/8/11,26
2022/8/11,31
2022/8/11,27
2022/8/11,19
2022/8/11,33
2022/8/11,45
2022/8/11,28
2022/8/11,17
2022/8/11,31
2022/8/11,25
2022/8/11,23
2022/8/11,10
2022/8/11,0
2022/8/11,0
2022/8/11,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,31
2022/8/12,38
2022/8/12,19
2022/8/12,24
2022/8/12,22
2022/8/12,16
2022/8/12,26
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/12,0
2022/8/13,0
2022/8/13,0
2022/8/13,0
2022/8/13,0
2022/8/13,0
2022/8/13,0
2022/8/13,0
2022/8/13,36
2022/8/13,38
2022/8/13,20
2022/8/13,19
2022/8/13,30
2022/8/13,16
2022/8/13,32
2022/8/13,14
2022/8/13,22
2022/8/13,28
2022/8/13,15
2022/8/13,11
2022/8/13,20
2022/8/13,0
2022/8/13,0
2022/8/13,0
2022/8/13,0
2022/8/14,0
2022/8/14,0
2022/8/14,0
2022/8/14,0
2022/8/14,0
2022/8/14,0
2022/8/14,0
2022/8/14,33
2022/8/14,10
2022/8/14,13
2022/8/14,17
2022/8/14,2
2022/8/14,21
2022/8/14,18
2022/8/14,49
2022/8/14,26
2022/8/14,14
2022/8/14,20
2022/8/14,13
2022/8/14,36
2022/8/14,0
2022/8/14,0
2022/8/14,0
2022/8/14,0
2022/8/15,0
2022/8/15,0
2022/8/15,0
2022/8/15,0
2022/8/15,0
2022/8/15,0
2022/8/15,0
2022/8/15,47
2022/8/15,29
2022/8/15,22
2022/8/15,20
2022/8/15,31
2022/8/15,26
2022/8/15,18
2022/8/15,35
2022/8/15,42
2022/8/15,22
2022/8/15,29
2022/8/15,20
2022/8/15,29
2022/8/15,1
2022/8/15,0
2022/8/15,0
2022/8/15,0
2022/8/16,0
2022/8/16,0
2022/8/16,0
2022/8/16,0
2022/8/16,0
2022/8/16,0
2022/8/16,0
2022/8/16,66
2022/8/16,4
2022/8/16,17
