time,港濱軸帶,安平老街,國華海安商圈,孔廟文化園區,赤崁園區
2022/7/1006:00:00AM,28.6,29.16,28.2,28.2,28.2
2022/7/1007:00:00AM,29.8,30.14,29.2,29.2,29.2
2022/7/1008:00:00AM,31.3,31.8,30.2,30.2,30.2
2022/7/1009:00:00AM,32.2,31.99,31.7,31.7,31.7
2022/7/1010:00:00AM,32.1,31.44,33.3,33.3,33.3
2022/7/1011:00:00AM,32.3,31.5,32.9,32.9,32.9
2022/7/1012:00:00PM,31.9,31.25,31.9,31.9,31.9
2022/7/1001:00:00PM,31.6,31.37,31.8,31.8,31.8
2022/7/1002:00:00PM,31.5,31.21,31.9,31.9,31.9
2022/7/1003:00:00PM,31.8,31.43,31.4,31.4,31.4
2022/7/1004:00:00PM,31.4,31.13,31.6,31.6,31.6
2022/7/1005:00:00PM,31,30.5,30.6,30.6,30.6
2022/7/1006:00:00PM,30.2,30.19,30.3,30.3,30.3
2022/7/1007:00:00PM,30,29.95,30.1,30.1,30.1
2022/7/1008:00:00PM,29.9,29.81,30.1,30.1,30.1
2022/7/1009:00:00PM,29.8,29.82,29.9,29.9,29.9
2022/7/1010:00:00PM,29.8,29.81,30,30,30
2022/7/1011:00:00PM,29.5,29.74,29.8,29.8,29.8
2022/7/1112:00:00AM,29.5,29.62,29.6,29.6,29.6
2022/7/1101:00:00AM,29.3,29.43,29.2,29.2,29.2
2022/7/1102:00:00AM,29.2,29.28,29.1,29.1,29.1
2022/7/1103:00:00AM,28.9,29.08,28.7,28.7,28.7
2022/7/1104:00:00AM,28.4,28.68,28.3,28.3,28.3
2022/7/1105:00:00AM,28,28.33,28.4,28.4,28.4
2022/7/1106:00:00AM,28.6,29.36,28.2,28.2,28.2
2022/7/1107:00:00AM,30.2,30.69,29.2,29.2,29.2
2022/7/1108:00:00AM,30.5,30.36,30.1,30.1,30.1
2022/7/1109:00:00AM,30.9,30.99,31,31,31
2022/7/1110:00:00AM,31.7,31.2,31.7,31.7,31.7
2022/7/1111:00:00AM,31.7,31.12,32.4,32.4,32.4
2022/7/1112:00:00PM,31.7,31.4,32.3,32.3,32.3
2022/7/1101:00:00PM,32,31.35,32.6,32.6,32.6
2022/7/1102:00:00PM,31.9,31.34,32.8,32.8,32.8
2022/7/1103:00:00PM,31.9,31.42,31.7,31.7,31.7
2022/7/1104:00:00PM,31.5,31.3,30.9,30.9,30.9
2022/7/1105:00:00PM,30.9,30.69,31.3,31.3,31.3
2022/7/1106:00:00PM,30.4,30.2,30.5,30.5,30.5
2022/7/1107:00:00PM,30.2,30.02,30.4,30.4,30.4
